,,combined_sldl_adjusted_moment_centroid,combined_sldl_area_per,combined_sldl_convex_hull,combined_sldl_convex_hull_pop,combined_sldl_population_moments
AR,015,0.7218470218783877,0.2047687946214002,0.6792814510289085,0.559963692749896,0.45874690288548275
AR,016,0.7564696956087902,0.20036226305276605,0.7175530459886258,0.4009535901453347,1.402592535633504
AR,017,0.9584355272950891,0.3707495712225533,0.8257325360597241,0.8288932083238052,1.4453368688628128
AR,018,0.6550350845741238,0.15147632954918833,0.5692266003738646,0.3008142205255152,0.6994743831199128
AR,019,0.8038411639589444,0.2522162910151527,0.7603001627900164,0.8479774336814307,0.8435047553883526
AR,020,0.6890548360943193,0.1837012260534594,0.6692708328411624,0.6021026072329689,0.5090573770950917
AR,021,0.6240856116966256,0.17378543918667147,0.6443031434545676,0.48371492539752575,0.45296142800292916
AR,022,0.7598134509481737,0.1966383868242175,0.5996984783174236,0.48206779208647493,0.9515066697451661
AR,023,0.7108150341219346,0.1658939816563875,0.6058992517679848,0.5228881380046239,0.6747531896514398
AR,024,0.8080795914777626,0.3497186397737636,0.7970474314353071,0.737182271043556,0.8109499120916007
AR,025,0.8761159643585169,0.3115901544166733,0.790905068495649,0.763059460853863,1.5364918815053314
AR,026,0.7930742150024268,0.34632987565467155,0.7845209460074599,0.7645745211885558,0.6404074121516313
AR,027,0.8566253473918121,0.3068216922576981,0.7299318822583976,0.901633908115278,0.8717982228064518
AR,028,0.8338432070142849,0.3145541291049335,0.7781176832527076,0.825436765504818,1.3099486288614066
AR,029,0.8612406084412672,0.3553328938386675,0.7916822305409174,0.7861520406832703,1.1879711913827962
AR,030,0.7661431577342399,0.20219618541795406,0.6145382971917146,0.7723384410393072,0.5609135278595727
AR,031,0.8597665224311763,0.19565283140008788,0.6758095432700584,0.5415793527125535,1.1968046995369472
AR,032,0.7764209520685139,0.15033265618458627,0.6204157431541901,0.7073219259848786,0.8794641794430367
AR,033,0.5790642217679625,0.27652077057409585,0.7135676631372619,0.7799485292082907,0.36380798299990524
AR,034,0.5333461886875215,0.15045015271225348,0.48532883889001965,0.5366488226706099,0.2830901872367778
AR,035,0.5836479148078686,0.17223976761305057,0.5414429031258511,0.35987039749733096,0.7519900588092494
AR,036,0.884855101318636,0.3849968234489294,0.7725600172691169,0.6895874263261297,1.1695394984069383
AR,037,0.5251623386279826,0.18885070306253718,0.5393409200950252,0.33583461305784357,0.6269886567252836
AR,038,0.9129578876385317,0.36320627202442235,0.8238855456522448,0.8813976525680666,1.0612309010633585
AR,039,0.775708614557784,0.20356000849429579,0.6901886523507479,0.7162643353552222,0.5284434563193704
AR,040,0.8012422139979057,0.19354846404227596,0.6529786208142679,0.5116035924859454,0.5131966296069701
AR,041,0.9085182311074419,0.4005881844113468,0.8427541377895574,0.9662828128629741,1.118168905704195
AR,042,0.8167689385640646,0.33198576817889824,0.8234121533231447,0.9159126020745972,0.8756095196694694
AR,043,0.8419311805777913,0.31562482967565375,0.734271944309829,0.9326084167308186,1.6352272001818589
AR,044,0.8073626129427548,0.22609533678226476,0.6564945379649645,0.41950765961214914,0.6181212196715512
AR,045,0.7701254653175573,0.20281394419397047,0.7503755326521301,0.4914592400185781,0.4935204025639432
AR,046,0.8470878261259503,0.3203522234014616,0.7883640058059098,0.9837657880285557,1.4022920683875564
AR,047,0.8478724133191522,0.20811461750800325,0.7075424941618657,0.7295732468180683,0.8805288433862128
AR,048,0.6998997281420066,0.15852554364481253,0.6327225729759,0.5813962589027158,0.902371351990264
AR,049,0.667130465904539,0.20500031168008465,0.6428980063353545,0.6509333635026586,0.6530581629941445
AR,050,0.681388273777214,0.19715721852287663,0.5823548439140506,0.35583385777218374,0.5729096565864883
AR,051,0.9301311948902631,0.46825632137492973,0.8600516661078528,0.7912009783010551,2.5354170486037844
AR,052,0.7199846685105471,0.20746368998400547,0.7166751995774425,0.39354578143728175,0.4818998057105216
AR,053,0.9216073578799628,0.5410407412048852,0.8992901080318129,0.8991855952153719,0.8894667372707443
AR,054,0.7695620711903701,0.26904383721562863,0.658402198298948,0.6532695926799196,0.35690615242257984
AR,055,0.5967300459519024,0.12362015784359803,0.6275624368405801,0.8445354461556722,0.6632963602686358
AR,056,0.8912090045307364,0.2965709603135562,0.8521622187368084,0.4968258302331138,0.8716496210996482
AR,057,0.9739499073792451,0.48061385355740693,0.8465688912326039,0.9970174837161467,1.8741336862475144
AR,058,0.7701856447571143,0.39675393997570907,0.7167810954801845,0.7391770198219342,0.8713089662952203
AR,059,0.7132352416391616,0.33281145383575633,0.7629187882469515,0.8817777777777778,1.9223360853780644
AR,060,0.8599272301898867,0.31860598646168975,0.839511620695717,0.6689390613084372,0.737780215816504
AR,061,0.5089444051765689,0.20277672513806844,0.732817725175339,0.789406283207542,0.26350126892784503
AR,062,0.9135322978505661,0.2753830204408016,0.7886840090421283,0.7143032024287533,0.813698476732878
AR,063,0.8647825828274985,0.23189670445275626,0.6787048018191315,0.8771061342558077,1.7755515415770509
AR,064,0.705459894413206,0.13229744289125714,0.6105519059872826,0.5177844005149276,0.42130476664631816
AR,065,0.9278512349397163,0.35833040287196727,0.8307527104279151,0.8830246441144957,1.3225910554731248
AR,066,0.8324695629758198,0.19421275394743234,0.6195782554044551,0.6512215109969213,0.5260140283169378
AR,067,0.7642877613312075,0.15901322907774984,0.6250753565382999,0.36512078641010376,0.4981179829652524
AR,068,0.581733114961953,0.13620599243182221,0.5393339508151489,0.3950145098091659,0.27719703919194605
AR,069,0.9103287495471116,0.4095158562557625,0.7958800632559029,0.9213862521500924,1.5301227745634711
AR,070,0.9473329855608182,0.44494979115571015,0.8556730444810489,0.7872486409457962,2.238760198937241
AR,071,0.844389367289052,0.3739593700302332,0.7069308619544608,0.8362806617227609,2.4467196968456717
AR,072,0.8325093674835915,0.26882794370675,0.691399683620982,0.6189183457051962,1.3526677168682653
AR,073,0.7569946497454086,0.23559241288412283,0.6977005566347411,0.43523039365273114,0.8959998302829699
AR,074,0.7503129722156361,0.2474568425760196,0.6692530108445619,0.6197917762120096,0.6358509629117077
AR,075,0.7984219052084446,0.1981062396476497,0.7098776856790815,0.746107876580574,0.6437486829422273
AR,076,0.8204698105701523,0.3358889654270723,0.729429733555562,0.7145973279131448,0.6712013588199793
AR,077,0.7596982683509287,0.30500844950478384,0.6798520963730307,0.8023752705477551,0.8157120499056462
AR,078,0.9466306278477742,0.6407998416434092,0.8542944214498583,0.8661910614190222,1.791231888430151
AR,079,0.7940937604783281,0.34611394683663255,0.7085841431424521,0.48991436408643874,1.9955841947455826
AR,080,0.774382212640009,0.27230554975689536,0.783920507105212,0.624820143884892,0.4708226904212439
AR,081,0.7128394078819562,0.1559368981522972,0.593985984162075,0.6831223923734937,0.3498758268240222
AR,082,0.7906253230118394,0.2785942862066973,0.7533455033839336,0.7968627450980392,0.5127683566027676
AR,083,0.902878676526822,0.22024570700756052,0.7304215848625975,0.5620687644555014,0.800244433353985
AR,084,0.8192816804745773,0.23214959830618817,0.6747846530040161,0.38105656006691974,1.2237114265837807
AR,085,0.7607684039953184,0.2755505662914323,0.7699664752271435,0.5467472847385512,0.5687449254603312
AR,086,0.8831739633895865,0.28680306188615423,0.7373567184257616,0.8688553734925479,1.1320806592342398
AR,087,0.5823270005278353,0.18214799303922047,0.6775015375640813,0.7503847803598012,0.15476951656479038
AR,088,0.8357006332362609,0.31076390514096525,0.7396321145818099,0.8896752331544067,0.8206662689990755
AR,089,0.8393000933343712,0.4550830195669876,0.826991957360288,0.9322050074762193,0.756335623984156
AR,090,0.7714152728936359,0.3703339389463114,0.786707312982178,0.9002921728433031,0.9457190296553154
AR,091,0.795474363097391,0.20971584466004822,0.7047847987254737,0.5436124004995992,0.4848552301907647
AR,092,0.8652046969666316,0.3834202669724378,0.8687579493456457,0.7351956157710459,0.8151132566828653
AR,093,0.8796559452692475,0.3209397972296739,0.7671105817733388,0.8427504254275908,1.0073181364517063
AR,094,0.8540579412087659,0.4943198593568111,0.8706885906271677,0.9729047682295126,0.9124942792116251
AR,095,0.8857249648562142,0.326294935454544,0.7864363305272493,0.7460791064187897,0.7291185207673627
AR,096,0.9448883915776105,0.29111094234354323,0.8144660080581089,0.851813110181311,1.2911355450519986
AR,097,0.8130012499079268,0.1723065118381748,0.6610149009355019,0.7071500891953136,0.47995000629139434
AR,098,0.7264886479629269,0.21445111889577842,0.7224643206665287,0.755893575871622,0.5323128944434359
AR,099,0.8445393648965884,0.18943209162941005,0.7233414064472867,0.5283955056179775,0.7334426469665729
AR,100,0.8356509316024069,0.3676220457270211,0.8364348612886591,0.9393281720708756,1.6264610979682397
AZ,001,0.9043232382401607,0.3353611776850319,0.8325263455112359,0.7316735963222121,1.7042338994605835
AZ,002,0.8450432633719759,0.26797384345769454,0.7583808118521689,0.5648135877727715,1.0812433302928108
AZ,003,0.8552895800106702,0.3439441105619099,0.7916747437481375,0.8288901309873873,1.089635282436723
AZ,004,0.794803562338365,0.2323589828396716,0.7358545282524278,0.41842013568632275,0.23674836590179504
AZ,005,0.6962451480107953,0.2072361170658692,0.6624588744384622,0.9780317913913199,1.3949966956269442
AZ,006,0.6778439606800365,0.11218109084671654,0.5896669059774302,0.8510898625108748,0.8852072554609717
AZ,007,0.7866089884486795,0.14733508756876612,0.6372296370423789,0.3482316215567219,0.8581612728869754
